syscall_id,frequency
3,55664
4,31342
6,22782
5,20503
195,19414
240,13709
192,13097
168,10752
78,10008
197,9976
221,9784
102,8646
265,8223
33,7258
180,5961
45,5942
174,5912
175,5842
91,5600
125,4825
140,3760
196,3741
54,2769
120,2215
146,1603
7,1555
142,1428
220,1273
42,1227
63,942
13,894
19,833
114,793
11,701
1,539
85,403
252,392
201,378
243,354
199,345
309,333
308,315
122,299
118,284
219,282
311,277
141,269
162,260
331,251
10,247
38,224
191,199
301,195
27,190
119,185
258,158
255,133
202,124
268,124
176,118
200,112
60,105
158,98
256,97
41,93
159,89
160,83
20,80
64,73
12,71
40,69
242,67
39,48
307,47
266,45
66,45
292,44
9,41
57,41
155,40
143,37
340,36
300,36
172,35
94,33
148,33
157,31
207,30
194,30
97,30
163,25
314,24
15,23
183,23
209,21
213,20
93,20
37,18
133,17
30,16
229,16
211,16
117,15
254,14
269,12
208,12
96,12
65,10
226,10
320,9
212,9
295,9
204,9
203,9
228,9
231,9
293,9
230,8
144,7
83,7
214,7
99,7
289,7
205,7
206,6
272,5
298,4
21,4
26,4
179,3
332,3
270,3
104,3
132,3
43,2
184,2
8,2
128,2
234,2
77,2
259,1
260,1
264,1
198,1
233,1
110,1
322,1
75,1
185,1
224,1
